"Accept Cookies","Accept Cookies"
"Decline Cookies","Decline Cookies"
"Allow all Cookies","Allow all Cookies"
"Custom Settings","Custom Settings"
"Cookie Name","Cookie Name"
"Cookie Provider","Cookie Provider"
"Cookie Description","Cookie Description"
"Cookie Lifetime","Cookie Lifetime"
"Cookie Type","Cookie Type"
Done,Done
"More Information","More Information"
Close,Close
"Cookie Settings","Cookie Settings"
"Allow all","Allow all"
Save,Save
"Please select and accept your Cookies Group","Please select and accept your Cookies Group"
